,Prod_ID,titles,keys,values,cluster_num
689,ID_690,Replacement Notebook Battery for HP G62-b37SO 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
4742,ID_4743,Replacement Notebook Battery for Sony VAIO VGN-NR410 Series 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
4742,ID_4743,Replacement Notebook Battery for Sony VAIO VGN-NR410 Series 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,availability,In-Stock,a1
12328,ID_12329,Replacement Notebook Battery for Toshiba Satellite M307 Series 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
2697,ID_2698,Replacement Notebook Battery for Compaq Presario CQ62-206SO 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
16898,ID_16899,Replacement Notebook Battery for Toshiba Satellite L305D-S5893 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
7052,ID_7053,Replacement Notebook Battery for Acer Aspire 5680-6063 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,availability,In-Stock,a1
7052,ID_7053,Replacement Notebook Battery for Acer Aspire 5680-6063 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
10292,ID_10293,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),cell_material,Ni-MH,a1
10292,ID_10293,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),rate,48 Wh,a1
10292,ID_10293,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),color,Black,a1
10292,ID_10293,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),no_of_cell,6,a1
3323,ID_3324,Replacement Notebook Battery for Acer Aspire 7730-4931 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,availability,In-Stock,a1
3323,ID_3324,Replacement Notebook Battery for Acer Aspire 7730-4931 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
4966,ID_4967,Replacement for LENOVO Laptop Battery (10.8 V 71 Wh Black 6600 mAh 9 cell Li-ion),cell_material,Li-ion,a1
4966,ID_4967,Replacement for LENOVO Laptop Battery (10.8 V 71 Wh Black 6600 mAh 9 cell Li-ion),color,Black,a1
4966,ID_4967,Replacement for LENOVO Laptop Battery (10.8 V 71 Wh Black 6600 mAh 9 cell Li-ion),no_of_cell,9,a1
1164,ID_1165,Replacement Notebook Battery for HP Pavilion g6-1035tx 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
7486,ID_7487,Replacement Notebook Battery for Sony VAIO PCG-3C1L 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
7486,ID_7487,Replacement Notebook Battery for Sony VAIO PCG-3C1L 11.1 Volt Li-ion Advanced Pro Series Laptop Battery,availability,In-Stock,a1
762,ID_763,Replacement Notebook Battery for Acer Aspire V3-571-6805 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
740,ID_741,Replacement Notebook Battery for HP Pavilion g6-2395sa 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
11851,ID_11852,Replacement Notebook Battery for HP Pavilion 15-ab025tx 14.8 Volt Li-ion Advanced Pro Series Laptop Battery,availability,In-Stock,a1
11851,ID_11852,Replacement Notebook Battery for HP Pavilion 15-ab025tx 14.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
8862,ID_8863,Replacement Notebook Battery for HP Pavilion dv5-1062tx 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
16431,ID_16432,Replacement Notebook Battery for Compaq Presario CQ56-160SD 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
5058,ID_5059,Replacement Notebook Battery for HP Pavilion g4-1015tu 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
5038,ID_5039,Replacement Notebook Battery for Toshiba Satellite M70-196 14.4 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
18523,ID_18524,Replacement Notebook Battery for Compaq Presario CQ42-262VX 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
9906,ID_9907,Replacement Notebook Battery for HP Pavilion g4-1006tx 10.8 Volt Li-ion Advanced Pro Series Laptop Battery,color,Black,a1
